canonical_precursor,n_rows,co2_min,co2_max,co2_range,ch4_min,ch4_max,ch4_range
C#C.C#N.[Cd],25,0.056167244,0.947771128,0.891603884,1.58978046,6.3757755171,4.7859950571
C#C.C#N.[Cu].[Cu][Cu],3,0.069374229,0.070534024,0.0011597950000000051,4.2458345047,4.8327495611,0.5869150563999996
C#C.C#N.[Cu].c1cc(c2cc(c3cnccn3)nc(c3cnccn3)c2)ccn1,2,0.990117199,1.017181693,0.027064493999999995,1.2440261169,1.259702009,0.015675892099999977
C#C.C#N.[Cu][Cu],2,0.028477485,0.028740275,0.00026278999999999886,2.5674192454,3.5803613818,1.0129421364
C#C.N#N.[Cu]1[S]2[Cu]3[S]4[Cu][S]5[Cu]6[S]1[Mo]24536.c1cc(CCCc2ccncc2)ccn1,3,0.771273915,0.814711151,0.043437236000000046,2.5160693538,2.6936211196,0.1775517658000001
C#C.[Cd],28,0.076925583,0.838337208,0.761411625,6.144928982200001,6.6847497347,0.539820752499999
C#C.[Zn],2,0.19132596,0.270854592,0.07952863200000002,8.0955106715,8.898213420700001,0.8027027492000016
C#N.C(C#Cc1ccncc1)#Cc1ccncc1.[Fe].[Pt],4,0.759623971,1.138561412,0.37893744100000004,7.4788663884,7.9689407813,0.49007439289999954
C#N.Cc1[n-][nH]c(C)c1Cc1cccc(Cc2c(C)[n-][nH]c2C)n1.[Cu].[Cu][Cu],6,0.882092605,1.077890669,0.1957980640000001,1.922238634,3.3776938944,1.4554552604000002
C#N.NCCCCCCCCN.[Cd].[Ni],3,1.409831142,3.723848689,2.3140175469999997,5.2482305718,5.8188586165,0.5706280447000003
C#N.[Ag].[Fe].c1cc(C2=NC(c3ccncc3)=N=C(c3ccncc3)N2)ccn1,7,1.671892535,2.356292607,0.6844000719999999,3.6313933017,4.5499000685,0.9185067668000002
C#N.[Ag]1[Ag][Ag][Ag]1.[Cd],2,1.088008688,1.237816212,0.14980752400000008,1.4373375154,1.6005927844,0.16325526899999998
C#N.[Ag]1[Ag][Ag][Ag]1.[Fe],2,0.354540675,0.412852519,0.058311843999999946,0.1808325439,0.2199688151,0.03913627119999999
C#N.[Au].[Fe],2,2.73e-05,0.061275673,0.061248373,0.4197327736,0.5037580388,0.08402526520000003
C#N.[Au].[Fe].c1cc(C2=NC(c3ccncc3)=N=C(c3ccncc3)N2)ccn1,7,0.927699599,1.084212236,0.15651263699999995,2.5924016093,3.2897482392,0.6973466299000002
C#N.[Au].[Fe].c1cc(C2=NNC(c3ccncc3)=NN2)ccn1.c1cc(c2nnc(c3ccncc3)nn2)ccn1,2,0.394299822,0.606906686,0.21260686399999995,3.3175741692000003,3.4760858157,0.1585116464999996
C#N.[Au][Au].[Fe].c1cc(c2ccc(c3ccncc3)nn2)ccn1,2,0.615244609,0.67663531,0.06139070099999999,4.5759156488,4.6805919028,0.10467625400000014
C#N.[Cd],12,0.053403599,2.689972766,2.6365691669999998,2.3934764193,6.349738443500001,3.9562620242000004
C#N.[Cd].[Cu][Cu],2,0.048509453,0.282764842,0.234255389,2.5310438055,3.9416421741,1.4105983686
C#N.[Cd].[Ni],25,0.093475079,0.2617722,0.168297121,1.1123579679,2.1017961749,0.9894382070000001
C#N.[Co].[Sr],3,0.017465828,2.298891482,2.281425654,2.8829940322000005,6.1760227851,3.2930287528999993
C#N.[Cr].[Mn],2,1.446115008,1.616069727,0.16995471899999992,3.4309516068,3.4684876548,0.03753604800000021
C#N.[Cu].[Cu][Cu],7,0.059734347,0.086501571,0.026767224,3.9692687104,6.162138205,2.1928694945999996
C#N.[Cu].[Mo],2,0.483409431,1.073393584,0.589984153,0.6467951216000001,1.8019399356,1.155144814
C#N.[Cu].[W].c1cncnc1,4,0.179091733,0.342613226,0.163521493,2.2682513167,2.6039827851,0.3357314684000001
C#N.[Cu].[Zn],5,0.084973571,0.161169652,0.076196081,6.795934674700001,6.9656513527,0.16971667799999945
C#N.[Cu].c1c(C2=NN=NN2)c(C2=NN=NN2)cc(C2=NN=NN2)c1C1=NN=NN1,4,0.729402684,0.792598025,0.06319534100000002,6.506617592,6.5656259877,0.05900839570000027
C#N.[Cu][Cu],2,0.036909977,0.049252655,0.012342678000000003,2.3703121197,2.9388940945,0.5685819748000003
C#N.[Fe].[Mn],2,1.027410103,2.777588998,1.7501788950000001,0.8559076505000001,2.7069483649,1.8510407144
C#N.[Fe].[Nb],2,0.075163201,2.556569873,2.481406672,2.7046736263,3.3709291146,0.6662554883
C#N.[Fe].[Ni],2,0.674212437,1.076170017,0.4019575799999999,3.0865053674,3.1492621216,0.06275675420000004
C#N.[Fe].[Ni].c1cnccn1,3,3.131858013,3.263706997,0.1318489839999999,4.7585229495,5.1621518967,0.40362894720000053
C#N.[Fe].[Pt],3,1.259269719,1.579872368,0.320602649,6.1551817412,8.9168646793,2.7616829381
C#N.[Fe].[Pt].c1cnccn1,4,0.551877526,1.668731796,1.1168542700000001,3.4657263988,3.67377413,0.20804773119999975
C#N.[Mn].[Mo],12,0.093998569,5.194497334,5.100498765,0.7153567781,3.6669331312,2.9515763531
C#N.[Mn].[Nb],4,1.60031899,5.411966104,3.8116471140000003,2.2722784603,4.8720217586,2.5997432983
C#N.[Mn].[Nb].c1cnccn1,2,3.809527928,4.507762356,0.6982344279999997,2.8978358765000003,3.9969774687,1.0991415921999996
C#N.[Mn].[W],2,1.449460045,2.003616173,0.5541561280000002,1.8651022868,2.6688580488,0.8037557620000002
C#N.[Mn].c1cc(c2ccncc2)ccn1,2,3.227573408,3.237774405,0.0102009970000001,6.3316413219,6.4046866204,0.07304529849999941
C#N.[Mo].[Ni],4,0.327875323,0.768592229,0.440716906,3.3899660995,6.7867281541,3.3967620546000004
C#N.[Nb].[Zn],2,1.673981492,1.68603681,0.012055318000000037,9.9306369789,9.9762749687,0.045637989799999445
C#N.[Ni].[W],4,0.316674484,1.335663906,1.018989422,2.1695349521,5.6492033984,3.4796684463000003
C(#Cc1ccncc1)c1ccncc1.[Cu],2,1.529334281,3.374961881,1.8456276,6.1444624791,9.8786714385,3.734208959399999
C(=CCn1cnnc1)Cn1cnnc1.[Cu],2,1.951102585,5.133866349,3.1827637639999997,7.6630791051,12.0848644278,4.4217853227
C(=Cc1ccncc1)c1ccncc1.CC([NH])C(=O)[O-].[Ni],2,0.78072974,1.106208869,0.3254791290000001,8.1769086489,8.679344992,0.5024363431000012
C(=Cc1ccncc1)c1ccncc1.O=C([O-])C1CC(C(=O)[O-])C(C(=O)[O-])C1C(=O)[O-].[Co],2,1.969966273,2.041153811,0.071187538,1.9255702729,2.1754440138,0.24987374090000003
C(=Cc1ccncc1)c1ccncc1.O=C([O-])C=CC=CC(=O)[O-].[Co],2,1.642710787,2.280467164,0.6377563770000001,2.9005677405,3.6157105507,0.7151428101999997
C(=Cc1ccncc1)c1ccncc1.O=C([O-])C=CC=CC(=O)[O-].[Zn],3,1.156701809,1.79145718,0.634755371,3.0111370726,6.8299037012,3.8187666286
C(=Cc1ccncc1)c1ccncc1.O=C([O-])CCCC(=O)[O-].[Cu][Cu],2,0.526701289,0.584459517,0.05775822799999997,3.0710206935000004,3.1444868247000004,0.0734661312
C(=Cc1ccncc1)c1ccncc1.O=C([O-])CN(CC(=O)[O-])Cc1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Co],3,2.526448262,2.599222443,0.07277418099999977,3.6878917981,3.7671118484,0.07922005030000001
C(=Cc1ccncc1)c1ccncc1.O=C([O-])c1ccc(N(=O)=O)cc1C(=O)[O-].[Zn][OH][Zn][OH][Zn],4,0.390342222,0.714276712,0.32393448999999996,1.2604116092,1.4384979579,0.17808634869999995
C(=Cc1ccncc1)c1ccncc1.O=C([O-])c1ccc(c2ccc(N(c3ccc(c4ccc(C(=O)[O-])cc4)cc3)c3ccc(c4ccc(C(=O)[O-])cc4)cc3)cc2)cc1.[Zn],2,0.684465157,0.714210099,0.029744941999999996,13.0763884451,13.1897167897,0.11332834460000107
C(=Cc1ccncc1)c1ccncc1.O=C([O-])c1ccc2cc(C(=O)[O-])ccc2c1.[Co][Co],2,0.814489565,1.604779014,0.790289449,1.6899417863,3.3457230031,1.6557812168
C(=Cc1ccncc1)c1ccncc1.[Cu],4,1.658828577,2.193598935,0.5347703579999998,4.1949517525,7.463552436,3.2686006835
C(=Cc1ccncc1)c1ccncc1.[Mn],2,1.524770125,3.435462245,1.91069212,7.8489670333,16.8026927198,8.9537256865
C(=NN=Cc1ccncc1)c1ccncc1.[CH](NN[CH]c1ccncc1)c1ccncc1.[Cd],2,0.78272437,4.62653539,3.84381102,7.573746220399999,9.9678525883,2.394106367900001
C(CC1=NN=NN1)OCCC1=NNN=N1.[Cu],2,0.364548369,0.387804962,0.023256592999999992,1.6786020823,1.6985746397,0.019972557400000035
C1=CC2=C(c3ccncc3)C3=CC=C(N3)C(c3ccncc3)=C3C=CC(=N3)C(c3ccncc3)=C3C=CC(=C(c4ccncc4)C1=N2)N3.[Mn],3,0.176066246,0.217528146,0.041461899999999996,3.2303940202,3.3100269519,0.07963293169999996
C1=CN=CN1.O=N(=O)C1=NC=CN1.[CH]1C=NC=N1.[Zn],2,0.27476663,0.280442997,0.0056763670000000155,9.5813360013,9.601482411,0.020146409699998813
C1=CN=CN1.[CH]1C=NC=N1.[Co],5,0.533442863,1.004879943,0.47143707999999995,3.1553805812,5.1571265328,2.0017459516000002
C1=CN=CN1.[CH]1C=NC=N1.[Zn],9,0.234091646,1.478453631,1.244361985,2.5075666365,9.1854058216,6.6778391851
C1=CN=CN1.[Zn],4,0.187665239,0.742190551,0.554525312,8.8731100001,9.2233446484,0.35023464829999895
C1=N=CN=N1.C1=NC=NN1.C1=NN=CN1.O=C([O-])c1ccc(C(=O)[O-])cc1.[Zn],2,1.238652979,3.230383491,1.991730512,5.9832331347,8.510102057200001,2.526868922500001
C1=NC=CN1.C1=N[CH]C=N1.[Zn],3,0.322970278,0.879794968,0.55682469,8.575427271699999,9.7505915882,1.1751643165000019
C1=NC=N=CN1.[Ag],2,0.413935759,0.507957633,0.09402187399999995,4.3448503741,6.2950286537,1.9501782796000002
C1=NC=NN1.C1=NN=CN1.[Cu],8,2.001893269,2.584442294,0.582549025,9.0259201746,10.2375129394,1.2115927648000007
C1=NN=CN1.[Cu],3,0.107036828,1.412927236,1.305890408,2.6216999365,9.3824030773,6.760703140799999
C1=NN=CN1.[Zn],2,1.900132227,5.169495666,3.269363439,2.2270326832,4.8017357806,2.5747030973999996
C1=NNN=C1.O=C([O-])c1ccc(C(=O)[O-])cc1.[CH]1C=NN=N1.[Zn],3,1.160190403,3.390203667,2.230013264,2.4670393441,9.5683359677,7.1012966236
C1=Nc2ccccc2N1.O=N(=O)C1=NC=CN1.O=N(=O)C1=N[CH]C=N1.[Zn],2,0.503877312,0.737335122,0.23345781,6.0624177222,6.109410536,0.0469928138000002
C1=Nc2ccccc2N1.[Zn],5,1.684574143,2.296717839,0.6121436959999997,2.8509404238,6.4086996298,3.557759206
C1CN2CCN1CC2.Cc1cc(C(=O)[O-])c(C)cc1C(=O)[O-].[Zn][Zn],2,1.025867046,1.03045745,0.004590404000000214,8.7506664479,8.7645123839,0.01384593599999917
C1CN2CCN1CC2.O=C([O-])c1ccc2cc(C(=O)[O-])ccc2c1.[Ni][Ni],6,0.259648764,0.730978592,0.47132982800000006,3.7079990022,13.8631527687,10.1551537665
C1CN2CCN1CC2.[Ag],2,0.837951139,0.86329135,0.025340211000000057,12.1723670867,12.1936237369,0.021256650199999783
C1CN2CCN1CC2.[Cu].[I][Cu]12[Cu]3([I])[Cu]1([I])[Cu]23[I].c1cc(C2=Nc3ccccc3N2)cc(C2=Nc3ccccc3N2)c1,3,0.166750435,0.190036875,0.02328643999999999,4.6494368817,5.1884225501,0.5389856684000005
C1CNCCN1.O=C([O-])c1ccc(C(=O)[O-])cc1.[Zn][Zn],2,2.359156397,2.378273781,0.01911738399999985,12.959113268,13.3120378517,0.3529245837000001
C1N2CN3CN1CN(C2)C3.O=C([O-])c1ccc2cc(C(=O)[O-])ccc2c1.[Zn].[Zn][Zn],6,1.01733736,1.090098151,0.0727607910000001,6.9929778191,7.190937813,0.19795999389999963
C1N2CN3CN1CN(C2)C3.[Ag],10,0.32757671,2.692715867,2.3651391569999998,4.528957972,12.2087390864,7.6797811144
C=C(C(=C)C(=O)[O-])C(=O)[O-].[Cd].c1cc(c2ccncc2)ccn1,2,2.639751538,2.705283308,0.06553176999999977,3.0696186548,3.0890629711,0.019444316299999986
CC(=O)NNC(=O)c1ccccc1O.[Mn].c1cc(CCc2ccncc2)ccn1,4,1.58463455,1.82434556,0.23971100999999995,8.412729798500001,8.8039784354,0.39124863689999856
CC(=O)[CH]C(=O)c1ccncc1.[Cu],2,0.509562906,0.510996993,0.0014340870000000283,3.9635433578,3.9806664675,0.017123109699999972
CC(=O)[O-].CC1(C(=O)[O-])CCC(C(=O)[O-])C1(C)C.[Co][Co],2,1.575033971,1.653068657,0.07803468599999985,4.3020783689,4.334895778,0.03281740909999975
CC(=O)[O-].CCn1cnc(c2ccc(c3ccncc3)cc2)c1c1ccc(c2ccncc2)cc1.O=C([O-])c1ccc(C(=O)[O-])cc1.[Co],2,1.430228487,1.476066367,0.04583788000000011,6.0293262743,6.056878273500001,0.027551999200000843
CC(=O)[O-].O=C([O-])c1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Ni],4,1.692082997,1.706763926,0.014680929000000065,5.2899120979,5.6570588528,0.3671467548999994
CC(=O)[O-].O=C[O-].[Mn],2,0.138571136,0.336170228,0.197599092,1.8039312561,2.3510826385,0.5471513823999998
