application,feature_group,model,split_type,test_subset,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_rss_delta_mb_mean,peak_rss_delta_mb_std,model_size_kb_mean,model_size_kb_std,validation_auc_mean,validation_f1_at_selected_threshold_mean,selected_probability_threshold_mean,label_cutoff_value_mean,n_train_mean,n_valid_mean,n_test_mean,train_positive_rate_mean,valid_positive_rate_mean,test_positive_rate_mean
ch4_storage,baseline,class_prior,scaffold,test,3,,0.0,,0.0,,0.0,0.41506616232421933,0.02824800093510944,0.5,0.0,0.2621468926553672,0.022266267117444696,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.5,,0.05000000000000001,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,baseline,linker_tanimoto_knn,scaffold,test,3,,0.0,,0.0,,0.0,0.5194129061693481,0.06777090256718993,0.7368114353444725,0.027696614122260692,0.4954692844706636,0.061313249879110646,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.7511508196971025,,0.375,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,baseline,metal_aware_precursor_knn,scaffold,test,3,,0.0,,0.0,,0.0,0.5431342715861545,0.03802892220498563,0.7605957561744227,0.016168310110055532,0.5611621899834539,0.0252620161033345,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.7703179888589738,,0.36833333333333335,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,descriptor_only,logistic_regression,metal_element_holdout,test,1,0.826539462272333,0.0,0.7763157894736842,0.0,0.5429447852760736,0.0,0.6389891696750902,0.0,0.809986572799905,0.0,0.7183291364821823,0.0,3.18465992085624,0.0,2.537676367077437,0.0,0.3904361339998559,0.0,7.626313962853693e-07,0.0,0.00390625,0.0,1.9921875,0.0,0.712046134989049,0.48097826086956524,0.275,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,descriptor_only,logistic_regression,metal_element_holdout,test_fully_unseen,1,0.8108821975699947,0.0,0.8056206088992974,0.0,0.555735056542811,0.0,0.6577437858508605,0.0,0.8047491396210529,0.0,0.742385788383466,0.0,2.832820338406598,0.0,2.4452362937363246,0.0,0.3825638969999545,0.0,8.52436872659112e-07,0.0,0.00390625,0.0,1.9921875,0.0,0.712046134989049,0.48097826086956524,0.275,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,descriptor_only,logistic_regression,metal_element_holdout,test_partial_unseen,1,0.8983050847457628,0.0,0.3448275862068966,0.0,0.30303030303030304,0.0,0.3225806451612903,0.0,0.8804226475279107,0.0,0.3808115111091435,0.0,4.767676767676767,0.0,3.249125874125874,0.0,0.39562847000001966,0.0,3.182496367572831e-06,0.0,0.00390625,0.0,1.9921875,0.0,0.712046134989049,0.48097826086956524,0.275,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,descriptor_only,logistic_regression,random_group_aware,test,1,0.7559322033898305,0.0,0.4709141274238227,0.0,0.6367041198501873,0.0,0.5414012738853503,0.0,0.7598442800825366,0.0,0.4933697354998564,0.0,2.584269662921348,0.0,2.2172284644194753,0.0,0.42260681200002637,0.0,1.2893389830655211e-06,0.0,0.00390625,0.0,1.9921875,0.0,0.7855482141147181,0.5979073243647235,0.29,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,descriptor_only,logistic_regression,scaffold,test,3,0.777683615819209,0.03331417624362839,0.5906993128255584,0.03169471609484378,0.5032863605265039,0.03912847127073148,0.5434380677039813,0.036068522066001044,0.7686949745377646,0.022433428553856,0.5757099799655634,0.015412896139339886,2.608012948156317,0.20435567390323198,2.1629686813916202,0.2206521958427243,0.4712152766666122,0.08889725142220742,1.4040398305285963e-06,2.98526871501414e-07,0.00390625,0.0,1.9921875,0.0,0.7298315469801003,0.5090878188638918,0.39333333333333337,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,descriptor_only,random_forest,metal_element_holdout,test,1,0.8209019947961839,0.0,0.742393509127789,0.0,0.5613496932515337,0.0,0.6393013100436681,0.0,0.8740323699379084,0.0,0.7590898319685383,0.0,3.0927947308315407,0.0,2.519287407895716,0.0,4.869344014000035,0.0,2.8045973980930752e-05,0.0,0.00390625,0.0,17925.556640625,0.0,0.8278859485201036,0.6215277777777778,0.38,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,descriptor_only,random_forest,metal_element_holdout,test_fully_unseen,1,0.7966191230850502,0.0,0.7521551724137931,0.0,0.5638126009693053,0.0,0.644506001846722,0.0,0.8596111366132138,0.0,0.7712706370757879,0.0,2.7523424878836833,0.0,2.283941023700947,0.0,4.885263308000049,0.0,3.078198520867666e-05,0.0,0.00390625,0.0,17925.556640625,0.0,0.8278859485201036,0.6215277777777778,0.38,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,descriptor_only,random_forest,metal_element_holdout,test_partial_unseen,1,0.9322033898305084,0.0,0.5862068965517241,0.0,0.5151515151515151,0.0,0.5483870967741935,0.0,0.8668261562998405,0.0,0.5350723141609588,0.0,5.661616161616162,0.0,2.8881118881118883,0.0,6.412090065000029,0.0,6.641433414007636e-05,0.0,0.00390625,0.0,17925.556640625,0.0,0.8278859485201036,0.6215277777777778,0.38,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,descriptor_only,random_forest,random_group_aware,test,1,0.811864406779661,0.0,0.5718849840255591,0.0,0.6704119850187266,0.0,0.6172413793103448,0.0,0.8501298349680644,0.0,0.6511606252734036,0.0,3.333333333333333,0.0,2.6666666666666665,0.0,7.368756834999999,0.0,4.715458813557311e-05,0.0,0.00390625,0.0,23577.0517578125,0.0,0.8532375754093651,0.6809917355371901,0.355,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,descriptor_only,random_forest,scaffold,test,3,0.7728813559322033,0.006936739637180034,0.6183626644658023,0.09942514487314569,0.44320497503293205,0.15104909542003428,0.495468958591944,0.06703312563973306,0.7967530371172581,0.016361935268684548,0.6115875817775932,0.009728581807309507,2.683284828804542,0.20698454580845035,2.173316586506551,0.09207603446969782,6.255925817999999,0.8459630321820556,3.4863285875680545e-05,1.1291713991861186e-05,0.00390625,0.0,14988.432942708334,7886.764801864075,0.7784958357114858,0.5294539565457527,0.3933333333333333,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
