mof_id,precursor,true_label,prediction,decision_threshold,calibrated_probability,raw_probability,shap_reason,action,deployment_model
3250,O=C([C]1C=C[C](C=C1)c1cc(cc(c1)[C]1C=C[C](C=C1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])[C]1C=C[C](C=C1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],1,promising,0.32,0.9654391360445437,0.9854496717453003,not computed,prioritize,xgboost
7193,O[Zn][Zn]O.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1nnc(c1)C1[CH]C=C(C=C1)c1cc(cc(c1)c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][Zn],1,promising,0.32,0.9653353376813505,0.9849809408187866,+HeavyAtomCount / +num_metal_atoms,prioritize,xgboost
4940,[In][O]([In])[In].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,promising,0.32,0.9651721192779958,0.9842466115951538,+metal_In / +HeavyAtomCount,prioritize,xgboost
3185,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)C(=C(c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],1,promising,0.32,0.9626952531829229,0.9734921455383301,not computed,prioritize,xgboost
5390,CCOc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,promising,0.32,0.9613729933676325,0.9680289626121521,+HeavyAtomCount / +num_metal_atoms,prioritize,xgboost
5569,CCOc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,promising,0.32,0.9613729933676325,0.9680289626121521,not computed,prioritize,xgboost
5007,[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1c2ccccc2c(c2c1cccc2)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,promising,0.32,0.9611471974165083,0.9671140313148499,+HeavyAtomCount / +num_metal_atoms,prioritize,xgboost
6615,Oc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(O)cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,promising,0.32,0.9601573221640007,0.9631623029708862,+num_metal_atoms / +HeavyAtomCount,prioritize,xgboost
3669,[Ni][O]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,promising,0.32,0.959275243208457,0.9597194194793701,+HeavyAtomCount / +num_metal_atoms,prioritize,xgboost
570,[Cu][Cu].[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])c(cc2COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],1,promising,0.32,0.9590532532288861,0.9588642120361328,not computed,prioritize,xgboost
6838,[C][C][C](Oc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(O[C]([C][C])[C])cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-])[C].[Cu][Cu],1,promising,0.32,0.9580246405185755,0.9549585580825806,not computed,prioritize,xgboost
7656,O=C=O.[Mn].[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)C(=O)[O-])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)C(=O)[O-])[N]4)c1ccc(cc1)C(=O)[O-])C=C3)[N]2.[Zn][Zn],1,promising,0.32,0.9574359323002892,0.9527642130851746,+num_metal_atoms / +HeavyAtomCount,prioritize,xgboost
2680,[In]O[In].[O-]C(=O)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],0,promising,0.32,0.956675078653004,0.9499707818031311,+metal_In / +HeavyAtomCount,prioritize,xgboost
6839,[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cc(O[C][C]2[C][C]2)c(c2c1cc(cc2)c1ccc(cc1)C(=O)[O-])c1c(O[C][C]2[C][C]2)cc(c2c1ccc(c2)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,promising,0.32,0.9554358681515055,0.9455198049545288,+HeavyAtomCount / +num_metal_atoms,prioritize,xgboost
4941,[Mn][O]([Mn])[Mn].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,promising,0.32,0.9524735674768156,0.9353402256965637,not computed,prioritize,xgboost
5320,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C2(C1([O])c1c2c2c(c3c1C1(C3(N1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[O])[O])C1(C2([O])N1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[O])[O].[Zn][Zn],1,promising,0.32,0.9511040307862929,0.9308363795280457,+HeavyAtomCount / +num_metal_atoms,prioritize,xgboost
2266,[O-]C(=O)C1=[C][C]=C([C]=C1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],1,promising,0.32,0.9502423742288972,0.928063690662384,not computed,prioritize,xgboost
6308,O=C=C1[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-].[In].[Ni]O[Ni].[O-]C(=O)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-].[O-]C(=O)[C]1[C]2[C]3[C]([C]4[C]1C1(C56C2(C35C416)C(=O)[O-])C(=O)[O-])C(=O)[O-].[O][C](C12[C]3[C]4[C]2C4([C]C2([C]1[C]32)C(=O)[O-])C(=O)[O-])[O],1,promising,0.32,0.9478833290237446,0.9206990599632263,+metal_In / +HeavyAtomCount,prioritize,xgboost
1129,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C1=Cc2c(=C1)cc1c(=CC(=C1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c2)C(=O)[O-],1,promising,0.32,0.9467308634642002,0.91721510887146,+num_metal_atoms / +metal_covalent_radius_avg,prioritize,xgboost
6309,[In].[Mn].[Mn]O[Mn]OO[Mn]O[Mn].[O-]C(=O)C12[C]C3(C(=O)[O-])[C]4C56[C]2[C]1C5([C]34)C(C6([O])[O])([O])[O].[O-]C(=O)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-].[O-]C(=O)[C]1[C]2[C](C(=O)[O-])[C]3[C]4[C]5[C]1[C]2[C]([C]3C45C(=O)[O-])[C]([O])[O],1,promising,0.32,0.9453079130338486,0.91301029920578,+metal_In / +HeavyAtomCount,prioritize,xgboost
7508,[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],1,promising,0.32,0.9433865870613293,0.9074934124946594,not computed,prioritize,xgboost
