application,mof_id,precursor,true_label,predicted_label,probability,error_type,likely_cause,deployment_model
co2_capture,2793,[Cd].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1cc(ccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],0,1,0.35986521701482477,false_positive,multiple_linker_fragments,random_forest
co2_capture,5545,[Dy].[Na]O[Na]O[Na].[O]S(c1cc[n+](c(c1)c1cc(cc[n+]1[O-])S([O])([O])[O])[O-])([O])[O],0,1,0.3060399586785591,false_positive,unusual_metal,random_forest
co2_capture,6348,[O-]C(=O)C(=O)[O-].[Sm],0,1,0.40145695534604514,false_positive,unusual_metal,random_forest
co2_capture,1114,[Mg].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)O.[O]P(=O)(O)[O],0,1,0.4974599764406699,false_positive,unexplained,random_forest
co2_capture,2197,N1=NC2=C[C](C=CC2=N1)c1ccc2c(c1)N=N[N]2.N1=NC2=C[C](C=CC2=N1)c1ccc2c(c1)[N]N=N2.N1=N[C]2C(=N1)C=CC(=C2)[C]1C=CC2=NN=NC2=C1.[Co].[Zn],1,0,0.15946155852204036,false_negative,multiple_linker_fragments,random_forest
co2_capture,7353,COc1ccc(cc1)C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-].COc1ccc(cc1)C1=N[C](C(=N1)C(=O)O)C(=O)[O-].COc1ccc(cc1)C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)c1ccncc1,0,1,0.3550042577198178,false_positive,out_of_domain_linker_size,random_forest
co2_capture,2007,[Ag].[Ho].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1cccnc1.[O-]C(=O)c1ccncc1,0,1,0.3781478870615065,false_positive,multiple_linker_fragments,random_forest
co2_capture,6991,[Nd].[O-]C(=O)C(=O)[O-],0,1,0.4092288338366236,false_positive,unexplained,random_forest
co2_capture,1374,[In].[O-]C(=O)C(=O)[O-],0,1,0.24216772046021073,false_positive,unusual_metal,random_forest
co2_capture,2749,[Al].[O-]C(=O)[C]1[C][C][C]([C][C]1)C(=O)[O-].[O].[O][C]([C]1[C][C][C]([C][C]1)C(=O)[O-])[O],0,1,0.29404362622446417,false_positive,multiple_linker_fragments,random_forest
co2_capture,6769,[O-]C(=O)c1ccc(s1)C(=O)[O-].[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43,0,1,0.3129254736172515,false_positive,unusual_metal,random_forest
co2_capture,556,[K].[Mn].[Mn]O[Mn].[O-]C(=O)c1cccc(n1)C(=O)[O-].[O][As]([O])[O].[O][As](c1ccccc1)[O],0,1,0.3449013524331841,false_positive,multiple_linker_fragments,random_forest
co2_capture,2082,O.[Mg].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1,0.7036525902148999,false_positive,unexplained,random_forest
co2_capture,2307,O[Mn].O[Mn]O.[Mn].[O-]C(=O)CCn1c(=O)n(CCC(=O)[O-])c(=O)n(c1=O)CCC(=O)[O-].[O-]C(=O)CCn1c(=O)n(C[CH]C(=O)[O-])c(=O)n(c1=O)C[CH]C(=O)[O-],0,1,0.48420407596877185,false_positive,multiple_linker_fragments,random_forest
co2_capture,1905,[CH]1C2[CH]C3C42C1C34.[O]C[C](C[O])C[O].[Co].[Co][O]([Co])([Co])([Co])([Co])[Co].[O-]C(=O)C.[O]CC(c1ccncc1)(C[O])C[O],1,0,0.19939194857144144,false_negative,multiple_linker_fragments,random_forest
co2_capture,2463,[Ba].[Ba]1[OH2][Ba][OH2]1.[Cr].[O-]C(=O)C(=O)[O-],0,1,0.27691348571123076,false_positive,unusual_metal,random_forest
co2_capture,5366,[O-]C(=O)C(=O)[O-].[OH4][Sr],0,1,0.3905346563945986,false_positive,unusual_metal,random_forest
co2_capture,5224,N1=NN=C([N]1)c1n[nH]nc1C1=NN=N[N]1.[Zn],0,1,0.2271577332504263,false_positive,unexplained,random_forest
co2_capture,7464,[Ho].[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)O)C(=O)[O-])cc(c1)C(=O)O,0,1,0.5988006036144816,false_positive,unusual_metal,random_forest
co2_capture,1501,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O].[V],0,1,0.4142720248608921,false_positive,unusual_metal,random_forest
co2_capture,6435,C1=Nc2c([N]1)cc1c(c2)[N]C=N1.[Cu].[O].C,1,0,0.1442409287105105,false_negative,multiple_linker_fragments,random_forest
co2_capture,6721,[Gd].[O-]C(=O)c1cc(N(=O)=O)c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)C(=O)[O-])N(=O)=O,0,1,0.5601399349426178,false_positive,unexplained,random_forest
co2_capture,6269,CC(P(=O)([O])[O])(P(=O)([O])[O])O.[Nd].[Nd]1OO1.[O].[O][As]([O])[O].[W],0,1,0.2418265692746172,false_positive,unexplained,random_forest
co2_capture,1728,O[Gd].[Gd].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1,0.4784012518872039,false_positive,unexplained,random_forest
co2_capture,1336,[Cd].[S]C#N.n1ccc(cc1)c1nnc(s1)c1ccncc1,0,1,0.288462351081916,false_positive,multiple_linker_fragments,random_forest
co2_capture,1500,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O].[V],0,1,0.4142720248608921,false_positive,unusual_metal,random_forest
co2_capture,6137,[Ni][OH]1[Ni][OH]([Ni]1)[Ni].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(ccc1C(=O)[O-])C(=O)[O-],0,1,0.33188937268175406,false_positive,unexplained,random_forest
co2_capture,2123,[Eu].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1,0.5158227756571546,false_positive,unexplained,random_forest
co2_capture,6553,[Mn].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)O.[O]P(=O)(O)[O],0,1,0.25547429612031164,false_positive,unexplained,random_forest
co2_capture,1244,CC1=Nc2n(C(=O)[CH]1)ncn2.[Mn],0,1,0.34080809119224026,false_positive,unexplained,random_forest
co2_capture,6673,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V],0,1,0.4142720248608921,false_positive,unusual_metal,random_forest
co2_capture,6082,[O]N(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],0,1,0.27902634962382683,false_positive,unexplained,random_forest
co2_capture,6023,[Gd].[O-]C(=O)C(=O)[O-],0,1,0.31132221957034817,false_positive,unexplained,random_forest
co2_capture,2464,[Fe].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)[O].[O]P(=O)([O])O.[O]P(=O)([O])[O],0,1,0.2241686451437266,false_positive,unexplained,random_forest
co2_capture,2337,[K]1O[K]O1.[O-]C(=O)C(=O)[O-].[Zn],0,1,0.2563440602463904,false_positive,unusual_metal,random_forest
co2_capture,6128,[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)P(=O)([O])[O])C(=O)[O-].[Zn],0,1,0.23193910860947353,false_positive,unexplained,random_forest
